global_step,return
1000,-422.2958679199219
2000,-303.859375
3000,-423.4266357421875
4000,-328.9220275878906
5000,-331.9713439941406
6000,-88.65057373046875
7000,-138.2072296142578
8000,-295.3865966796875
9000,-228.73158264160156
10000,-175.35475158691406
11000,-122.22856903076172
12000,-164.5979461669922
13000,-55.38780212402344
14000,241.66207885742188
15000,-222.072998046875
16000,573.15771484375
17000,524.7713012695312
18000,540.8934326171875
19000,786.0978393554688
20000,890.728271484375
21000,767.7929077148438
22000,806.78173828125
23000,772.3838500976562
24000,860.88720703125
25000,771.4058227539062
26000,1006.46630859375
27000,975.3482666015625
28000,682.720947265625
29000,882.9750366210938
30000,937.2703247070312
31000,782.1870727539062
32000,973.9140625
33000,931.9371337890625
34000,936.7410888671875
35000,277.8761291503906
36000,1027.7760009765625
37000,975.2932739257812
38000,963.8681030273438
39000,411.99774169921875
40000,1046.5601806640625
41000,1017.5213012695312
42000,1117.39990234375
43000,1092.8203125
44000,1048.25439453125
45000,1077.0474853515625
46000,1135.829345703125
47000,1117.0531005859375
48000,1064.58056640625
49000,1139.314208984375
50000,959.3526000976562
51000,1207.8953857421875
52000,1100.048583984375
53000,1088.0869140625
54000,1119.4677734375
55000,1117.57470703125
56000,1271.7188720703125
57000,1319.4864501953125
58000,1121.4903564453125
59000,1129.7838134765625
60000,1288.0045166015625
61000,1102.438720703125
62000,1187.3221435546875
63000,1186.7584228515625
64000,1271.7774658203125
65000,1270.90380859375
66000,1166.9677734375
67000,1226.276123046875
68000,1256.019287109375
69000,1296.9544677734375
70000,1239.977294921875
71000,1297.4033203125
72000,1342.99560546875
73000,1232.2425537109375
74000,1221.473388671875
75000,1216.0810546875
76000,1263.9239501953125
77000,1250.1949462890625
78000,1271.2218017578125
79000,1312.81494140625
80000,1224.42919921875
81000,1325.87841796875
82000,1272.0159912109375
83000,1343.03515625
84000,1257.975341796875
85000,1315.41064453125
86000,1372.0155029296875
87000,1278.8316650390625
