global_step,return
1000,-214.37828063964844
2000,-400.2328186035156
3000,-293.7510070800781
4000,-258.9634094238281
5000,-278.8029479980469
6000,-255.18409729003906
7000,-238.56369018554688
8000,-159.56423950195312
9000,-278.17608642578125
10000,-197.8984375
11000,-246.91319274902344
12000,-0.8859133720397949
13000,15.765957832336426
14000,-62.1908073425293
15000,444.4373779296875
16000,1032.3221435546875
17000,1001.3317260742188
18000,1069.032470703125
19000,335.139892578125
20000,1738.845458984375
21000,2131.9951171875
22000,2135.5166015625
23000,2473.00927734375
24000,2290.995361328125
25000,2867.75927734375
26000,3037.721923828125
27000,3031.6826171875
28000,2897.953857421875
29000,2838.6064453125
30000,3460.34423828125
31000,3285.74560546875
32000,3295.31640625
33000,3228.155029296875
34000,3381.17578125
35000,3115.513671875
36000,3515.059814453125
37000,2940.6005859375
38000,3027.473388671875
39000,3661.154052734375
40000,3631.085205078125
41000,3800.3984375
42000,4048.64453125
43000,335.9586486816406
44000,4052.329345703125
45000,2347.123046875
46000,1898.0303955078125
47000,4247.6640625
48000,2260.83740234375
49000,4205.8251953125
50000,4385.84375
51000,4466.50244140625
52000,4207.8486328125
53000,4287.66064453125
54000,4562.3125
55000,4426.53125
56000,4636.87890625
57000,4276.625
58000,4443.07763671875
59000,4458.6650390625
60000,4453.291015625
61000,4741.09130859375
62000,4823.4482421875
63000,4887.33056640625
64000,4706.498046875
65000,5082.86376953125
66000,4828.1982421875
67000,4962.646484375
68000,4771.46875
69000,4876.478515625
70000,5116.20947265625
