global_step,return
1000,-283.59136962890625
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-232.8853302001953
8000,-124.70588684082031
9000,-243.10484313964844
10000,-290.52593994140625
11000,-228.42385864257812
12000,-1.4870022535324097
13000,789.128173828125
14000,685.8733520507812
15000,348.74761962890625
16000,-16.227163314819336
17000,-106.51069641113281
18000,1633.15087890625
19000,-43.400264739990234
20000,-19.521446228027344
21000,1393.57666015625
22000,1828.726318359375
23000,2038.162109375
24000,1552.6824951171875
25000,1449.7171630859375
26000,1897.6923828125
27000,1049.9482421875
28000,200.16845703125
29000,-71.72575378417969
30000,-83.61274719238281
31000,118.66058349609375
32000,386.2997741699219
33000,-71.9201431274414
34000,98.2029800415039
35000,268.15985107421875
36000,306.6024169921875
37000,1213.80126953125
38000,2167.7890625
39000,361.7112121582031
40000,2796.95703125
41000,329.4331970214844
42000,2192.167724609375
43000,2369.265625
44000,2599.643798828125
45000,255.84597778320312
46000,72.2611083984375
47000,366.5850524902344
48000,795.3547973632812
49000,2562.128173828125
50000,2234.853271484375
51000,91.13524627685547
52000,1440.077392578125
53000,2634.1201171875
54000,2642.3212890625
55000,429.4214782714844
56000,3156.300048828125
57000,478.5298767089844
58000,4.87396240234375
59000,1141.4168701171875
60000,181.7962646484375
61000,393.4107666015625
62000,145.51004028320312
63000,1205.1239013671875
64000,1088.433837890625
65000,100.91971588134766
66000,2957.28955078125
67000,332.3936767578125
68000,1188.78759765625
69000,2767.292724609375
70000,3020.92431640625
71000,351.405517578125
72000,3397.722412109375
73000,3104.895751953125
74000,513.0248413085938
75000,1059.3529052734375
76000,3485.103759765625
77000,3397.903564453125
78000,3641.341064453125
79000,1648.4757080078125
80000,3632.89697265625
81000,2996.35302734375
82000,1576.366943359375
83000,3664.35009765625
84000,3894.388427734375
85000,3525.9892578125
86000,2016.1817626953125
87000,616.040283203125
88000,3952.23046875
89000,3832.232666015625
90000,3847.500732421875
91000,434.0961608886719
92000,3698.095703125
93000,3688.1171875
94000,3655.5107421875
95000,3120.930419921875
96000,1638.4466552734375
97000,1440.967041015625
98000,828.9518432617188
99000,3728.18896484375
100000,3730.36474609375
101000,113.42809295654297
