global_step,return
1000,-283.59136962890625
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-207.5699462890625
8000,-174.34620666503906
9000,-246.69606018066406
10000,-249.013427734375
11000,-196.71829223632812
12000,-28.895706176757812
13000,-294.33648681640625
14000,-281.9606018066406
15000,-270.0309143066406
16000,-393.5276794433594
17000,-377.11309814453125
18000,-509.9164123535156
19000,-653.8984375
20000,-555.0746459960938
21000,-193.4833984375
22000,-720.3003540039062
23000,-204.6625213623047
24000,-412.5212097167969
25000,-637.9091186523438
26000,-74.68321228027344
27000,-104.82719421386719
28000,-81.8436050415039
29000,-438.2453308105469
30000,-67.89574432373047
31000,-415.0184326171875
32000,-146.34124755859375
33000,-49.88592529296875
34000,-148.06593322753906
35000,-52.602699279785156
36000,-320.3133850097656
37000,-137.02615356445312
38000,-272.5889587402344
39000,-43.64568328857422
40000,-324.273193359375
41000,25.801870346069336
42000,34.6732292175293
43000,22.679630279541016
44000,-553.7555541992188
45000,-309.9766540527344
46000,-339.2348937988281
